sentence;label
Modification procedure (e.g. to provide information such as data forwarding addresses, new SN security key, measurement gap, etc...).;0
The TRR, dry run(s), RFR, and TRB shall be conducted and test report(s) prepared as described in Section 5.2, Qualification Test.;1
In case of unachievable speed or level elements for the aircraft type, the system shall highlight the flight for manual attention.;1
In this case, the loop magnetometer should be located 1 m away from MAG.;1
Manchester Airport has a long history of collaborative approaches to environmental management and stakeholder engagement, predating even the development of their second EUROCONTROL in developing the initial Specification for Collaborative Environmental Management (CEM), and the first UK airport to implement a CEM working arrangement.;0
Actuation of steering shall be possible regardless of arresting with position to enable steering during a field arrestment.;1
If the Connection_Handle refers to an ACL link a new synchronous logical transport will be added.;1
In the intended application of the Repeater, the out of band gain is less than the donor coupling loss.;0
At the current time, there is a gradual convergence on the use for the Aeronautical Information domain.;0
Radiometric budget considerations may lead to a larger sampling resolution (e.g. 1 arcsec/pixel).;0
The result is compared to the mask given in figure 4.;1
In the event that the transfer of a part packet to its destination is not successful, the capability shall be provided to transfer succeeding part packets.;1
At each new LSWT release of GloboLakes the (A)ATSR GlobTemperature single-sensor dataset will be re-processed.;1
Timely sharing of information is taken to mean that the user information transported by the ATSMHS is delivered with minimal delay, consistent with the performance 1s the integrity of the transported information, which will be by application-specific means for users of the Basic ATSMHS.;1
Design the system to limit the negative effects of errors.;1
On the other hand, the model is used during WP6 to check and validate these inputs.;1
Detailed specification of controller equipment and the interface between such equipment and the EIRENE network is at the discretion of the railway operator.;0
The developer shall establish, control, and maintain a software test environment to perform integration and qualification testing of software.;1
Higher frequency components of unit-generated ripple may not couple through the bus and other load filters at levels sufficient to affect bus loads, Frequency domain conducted emissions and susceptibility 1s are expected to control EMC for the higher-frequency components of ripple, High frequency components of ripple make it difficult to measure the basic (lower frequency) ripple.;undecidable
However, a major uncertainty exists with respect to the capability of these different transmission modes (Mode-S, Satcom, VDL mode2/mode 4) to offer sufficient bandwidth and flexibility for the implementation of the new concepts.;0
The operator should discard any production crimp, which in his judgement is defective.;1
Since the process of information disclosure started in 2001, the ACE Benchmarking Reports, the information itself, and the analytical framework have been used widely by ANSPs, regulators and airspace users.;0
"If the ""Accept"" header contains both ""text/plain"" and ""application/zip"", it is up to the NFVO to choose the format to return for a single-file PNFD; for a multi-file PNFD, a ZIP file shall be returned.";1
The test shall verify the receiver's ability to detect UCI under multipath fading propagation conditions for a given SNR.;1
However, any subsequent manipulations by the controller hold good.;0
The isolation allows cable expansion and contraction with temperature independent of the optical fibers.;0
Upon reception, the source eNB may decide to prevent handover for that UE towards CSG (Closed Access Mode) cells with corresponding CSG Id.;1
The total hemispherical temperature is then calculated for a temperature of 25 °C.;1
In addition, the Airport has also developed, with its Consultative Committee a reporting metric that exceeds the design criteria of RNP1, monitoring the aircraft departure tracks within a +/- 500m swathe rather than the traditional +/- 1,500m swathe.;0
The minimum output power shall not exceed the values specified in Table 6.3A.1.1-1 for each operating band supported.;1
The service provider shall be able to configure which state changes shall be notified as well as to which recipient(s) (see ).;1
Certain disabilities and lack of previous experience might affect the usability aspect.;0
Piece part upset/survive Single Event Effects (SEE) tests and Analyses, iv.;undecidable
Intermittent and slow performance conditions can be mitigated before it does degrade the system.;0
They are authentication, confidentiality, integrity, and availability.;1
Channels can be transitioned directly to the CLOSED state.;0
To help with the implementation of this data model, several key definitions are listed below.;0
Survivability and/or hardening engineering approaches resulting from these trade studies shall be documented in the SVPP, and quantified in the HM/HS Plan.;0
Such certificates shall certify that the materials and/or manufactured articles concerned have been tested in accordance with the 1s of these Specifications.;1
This information is implied by the combination of the logical transport address (LT_ADDR) carried in the packet header and the channel access code (CAC).;1
If necessary, the TRANSACT DATA command data shall be padded to create the correct length of message as described below.;1
Enhancements of the data level definitions are given in the definitions of level 0, level 1 data.;0
After reception of the FHS packet acknowledgment, the new master A shall switch to its own timing with the sequence selection set to the basic channel hopping sequence and shall send a POLL packet to verify the switch.;undecidable
The absolute accuracy error for any given digital code is the difference between measured output and the ideal output at that code expressed in LSB.;0
For an ESOMP designed to operate within networks where the NCF determines that the ESOMP shall cease emissions, then the CCs and RCs are also used for the dialogue with the NCF.;1
This way it can easily be seen where each 1 is done for the first time.;0
Attached payloads that require dexterous robotic support shall meet minimum fundamental frequency 1s defined in paragraph 3.7.4 of the Attached Payloads IRD (when held rigid at the grasp point).;1
Terminal post length is designed to receive a maximum of three levels of wrap joint.;1
This channel identifier is dependent on the ME's default channel identifier as declared in table A.2/27.;1
The dynamic mechanical loads induced by the solid rocket motor during transient phases shall be characterised.;1
Legacy – Term referring to out-of-date hardware or software still in use (see Heritage).;0
Based on the LGU selected from the drop-down tab, the system shall update the allocation drop-down list, with allocation information for that particular LGU.;1
Measurements with the 104 centimeter rod are performed only for vertical polarization.;1
If military authorities do not implement SES, risks identified include the legal implications if military services are implicated in air accidents, particularly if GAT is involved.;undecidable
If the periodic advertising data in the advertising set is not complete, the Controller shall return the error code Command Disallowed (0x0C).;1
For hardware processed with water the moisture content of the gas effluent through or over the dried components, parts or system at ambient temperature, shall be measured.;1
1s classification: This activity includes organizing the 1s gathered from different sources.;0
The credential status should be stored in a private storage assigned to the accessor authentication service.;1
Implementation: In recent years, contractors and suppliers have moved toward storing on computer systems all quality records associated with unit and vehicle level data packages.;0
Directions to be tested: OTA coverage range reference direction (D.35).;0
S1AP shall use the ASN.1 Basic Packed Encoding Rules (BASIC-PER) Aligned Variant as transfer syntax as specified in ITU-T Rec.;1
This 1 is also applicable at specified frequencies falling between 12.5 MHz below the first carrier frequency used and 12.5 MHz above the last carrier frequency used.;1
Select ICT equipment whose airflow direction matches the airflow design for the area in which it is to be operated.;1
The 1s for document identification contained in ECSS-M-50 shall be applied to the Coordinate Systems Document.;1
The TMSI is stored in the USIM by the Terminal and read during the USIM-Terminal initialisation procedure.;1
This IE can be used by the UE to differentiate the type of alert according to the type of disaster.;1
The scope of the 1s definition contained herein is limited to the Flight ManagemenVFlight Control computer functionality.;0
The ME screen shall be in its normal stand-by display.;1
Software Engineering - Software Measurement Process.;0
Erosion and/or instability and/or sediment deposition arising from earthwork operations not in accordance with the Specifications shall be made good immediately by the Contractor.;1
The main goal of the euBusinessGraph project is to create the foundations of a European cross-border and cross-lingual business graph through aggregating, linking, and provisioning (open and non-open) high-quality company-related data, thereby demonstrating innovation across sectors where company- related data value chains are relevant.;0
If a packet is available to be sent, the Acknowledgment Number of that packet shall be updated to the latest expected sequence number.;1
For intra-band contiguous carrier aggregation, a carrier aggregation configuration is a single operating band supporting a carrier aggregation bandwidth class with associated bandwidth combination sets specified in clause 5.5A.1.;1
In any trade-off between horizontal resolution and spatial coverage the former shall have higher priority.;1
These documents will be used later in the validation phase to assure the quality of the components developed.;0
Ignition criteria shall be defined including deviations.;1
The limit shall be the same as that at 18GHz, except in platform receiver notches or as otherwise specified by the procuring authority.;1
Rationale: Post-egress activities assume 1 hour for crew transportation and 5 hours for a combination of 4 hours of medical exam (baseline data collection) and 1 hour for hygiene/meal activities.;0
Organic compounds or films on contacts or header base.;undecidable
DECT™, PLUGTESTS™, UMTS™ and the ETSI logo are trademarks of ETSI registered for the benefit of its Members.;0
Linking these attributes is necessary so that so that I/O 1s that need to be articulated at the logical node level can be associated with the network interface 1s associated with the CP.;1
The states with wireless selected Remote User Interface mechanism are shown in light grey color, whereas wired ones are shown in black color.;1
The ME shall have been powered on and performed the PROFILE DOWNLOAD procedure.;1
See Section 3.2.2.4 for a reference design of receptacle outer shell.;0
This message is sent by the NG-RAN node to transfer application layer information for an NG-C interface instance.;1
To verify that the PIN verification procedure is performed by the Terminal correctly.;undecidable
Future revisions of this specification, however, may define their usage.;0
On-orbit testing should be conducted to verify the functional integrity of the space vehicle following launch and orbital maneuvering.;1
The gNB-CU-UP keeps the Bearer Context, the UE-associated logical E1-connection, the NG-U related resource (e.g., NG-U DL TEIDs) and the F1 UL TEIDs.;1
This 1 applies to any terminal connected to an exchange line as per ETSI ES 203 021 [3].;1
When functions, interfaces, components, and/or design rules are defined and published, the architecture is open.;0
The contents of the present document are subject to continuing work within the TSG and may change following formal TSG approval.;0
"A many-to-one route request command frame is not retried; however, a discovery table entry is still created to provide loop detection during the nwk- NLME-ROUTE-DISCOVERY.request primitive is TRUE, the many-to-one sub-field of the command op- tions field of the command frame payload shall be set to 2.";undecidable
This insulation material exhibits good properties for thinner-walled, lighter weight wire constructions.;0
It is expected that these standards will require amendment as these batteries are used and lessons specific to the challenges of the lithium-ion technology are learned.;0
"For instance, the weather conditions may impact the quality of the RF data link; they will have to be taken into account in the frame of the surveillance system design process to ensure that the required performance can be met under all the locally specified weather conditions.";undecidable
A UA supporting P7 access shall conform to the profile in Appendix B Annex H, or Appendix B Annex I of ICAO EUR Doc 020 [8].;1
The hybrid application in the system shall form the basis for the technical 1s of each hybrid and critical performance parameters.;1
The average is calculated with the following rule: chunks over time.;1
Navigation bar - An area of a Web page with links that support navigation within an application.;0
The Link Manager may choose any combination of packet types, timing, and retransmission window sizes that satisfy the parameters given.;1
ICP procedures for unpressurized COPVs using impact protectors should require controlled access authorized by the jurisdictional authority to work within close proximity of the COPV.;1
It satisfies common 1s of all applications op- erating in a ZigBee protocol stack.;0
No distinction is made here between WAN and point to point links as there shall be no difference in the software between the two cases.;1
The system allows entry of vertical rate and expedite climb/descent instructions from controller input.;1
Therefore for each application a full review should take place by the PMPCB.;1
The 1s of this standard either in full or as appropriately tailored shall be levied on prime contractors, subcontractors, and their sub-tier suppliers of space and launch vehicles.;1
If a component is unavailable (i.e., its label is dimmed), the mnemonic has no effect (i.e., executes no action).;1
"ISO/IEC 9646-7: ""Information technology -- Open Systems Interconnection -- Conformance testing methodology and framework -- Part 7: Implementation Conformance Statements"".";0
The co-location reference antenna is defined in TS 38.104 [2].;1
The Contractor's special attention is drawn to the fact that all screeds, immediately after the initial set has taken place, will be required to be continuously covered in water by the sand trap or other approved method for at least 10 days.;1
Alarms, warnings and events must be explicitly acknowledged, informational messages do not require acknowledgment.;1
The marker shall then be moved in a negative frequency increment until the lower, (relative to the centre frequency), -10 dBc point is reached.;1
The size of the search based drop-down tab shall be dynamic, based on the progressive matching of the Integer data type.;1
The structural static load test demonstrates the adequacy of the battery structure to meet 1s environments predicted to occur during its service life (such as temperature, humidity, pressure, and loads).;0
Examples of such approaches that have been used are described below.;0
The Tenderer' means the company submitting the Tender and 'the Contractor' means the successful Tenderer to whom the contract arising from the Tender has been awarded.;0
Clearly, this 1 should not inhibit faster response times in case a ToO is identified at the beginning of a working day.;0
Thus, a disciplined acquisition approach is achieved.;0
If the structure/component to be tested is statically determinate, it may be tested as a stand-alone unit.;0
The Starting Handle shall be set to 0x0001 and the Ending Handle shall be set to 0xFFFF.;1
Heavy application of artificial intelligence techniques can be expected to encompass the entim spectrum of crew station technologies: from data fusion to optimized display resource management, to real-time onboard maintenance and fault reporting, and even to the optimization of pilot physiological needs.;0
If adopted, this solution will require dedicated development.;0
The HDLC parameter negotiation is initiated by the primary station.;1
There is a variety of liquid immersion technologies available to cool electronics within the data center.;0
MirrorLink® is a registered trademark of Car Connectivity Consortium LLC.;0
A code indicating whether the associated parameter is operational or specification parameter of the UUT.;0
The land shall withstand a minimum of 500 psi of vertical pull 90 degrees to the board surface (tension) after completion of five cycles of soldering and four cycles of desoldering.;1
Alert cancelled – When the alert is triggered the Controller assesses the situation and either instructs the aircraft to go around, or lets the aircraft land if it is considered safe to do so (does not apply if the Runway is Closed).;1
A unique identifier for messaging service providers.;0
If, for any reason, a controller would be delayed and demonstrate a schedule not compatible with the mission, it would be replaced by a stub.;0
After steps b) and c) the UE shall allow call set-up and send the requested number across the air interface.;1
Supplier’s manufacturing process design output shall be expressed in terms that can be verified against manufacturing process design input 1s and validated.;1
It will approve the End User 1s Document to be established in the course of phase A studies and baselined as an input to phase B.;0
The Host may set the advertising data in one or more operations using the Operation parameter in the command.;1
The operational 1s were driven by the type of exchange (e.g., trajectory change and general information) and the domain in which the service was offered.;0
SCAD’s services section scope is limited to pulling/presenting and pushing data from and in CRM only with the web service provided by SCAD.;1
The RTM shall list the applicable and reference documents in support to the generation of the document.;1
Transmitter emissions may be measured in terms of r.m.s.;1
The runway ATCO is responsible for issuing landing, line-up and hold and take-off clearances.;1
It is good practice to prepare a detailed fracture control summary that documents the damage tolerance life analysis and/or test results, together with other relevant detailed information, to facilitate review by safety personnel so that they can make a timely decision regarding use of the MPV.;0
However, transition issues need to be identified early in the system development process to assure they are properly addressed by the time of system deployment.;0
In other words a single value per pixel that characterizes the dispersion of the values that could reasonably be attributed to the measurand.;0
Shorting plugs should be designed to prevent an inadvertent connection to a fully charged battery.;1
I therefore expect to experiment with models via an intuitive interface, such that I can understand the impact of changes in the environment I am investigating.;1
The following term is specific to this Standard in the sense that it is complementary or additional with respect to those contained in ECSS--P--001 and ECSS--Q--70.;0
Though the Signal-to-Noise Ratio (SNR) is not the only determining factor, it can be used as a good proxy for the expected parameter estimation accuracy.;0
This type of data is used for testing purpose when no data is available.;1
Witness the CTI screen pops in a lab or installation.;undecidable
It’s important to understand that the specialised object classes and data elements are not additional ones.;0
The increased usability experience of the user, including the ability to use the service from any place, increases the monetary benefits for the movie service provider.;0
This also includes notification of failure recovery.;0
Indeed if all WAM and MLAT systems are configured to operate on II code = 0, it is more difficult to identify their interrogations, particularly when mobile military Mode S radars are deployed and operated on II code = 0 in the same area.;0
Radiant energy is the energy emitted, transferred or received in the form of electromagnetic radiation.;0
The repeat cycle is defined as the time elapsed between the start of two consecutive east-west scans.;1
While the NID is designed to host a wide array of centrally available, curated data collections associated with the research aims of the UKCRIC it is acknowledged that it cannot be used to host all data potentially pertinent to the UKCRIC’s full research remit.;0
Multi-band receiver: receiver characterized by the ability to process two or more carriers in common active RF components simultaneously, where at least one carrier is configured at a different operating band (which is not a sub- band or superseding-band of another supported operating band) than the other carrier(s).;1
In general, the DPU should be designed according to specifications defined in CENELEC EN 60950-1 [2] or CENELEC EN 62368-1 [9] (in this RPF class a single-port DPU will not be subject to a power exceeding 15 W, while a multi-port DPU can be subject to a total power (sum across the ports) exceeding 15 W).;1
This can be determined using the HCI_Read_Buffer_Size command.;1
They have the advantage of being lightweight, sturdy (withstand high shocks of 750 g and vibration of 60 g rms random), and require no external power.;0
E.g. Basic Latin (ASCII) has a range of 0x0000 - 0x007F.;0
The internal impedance of the test power source shall be low enough for its effect on the test results to be negligible.;1
The additional training to add aircraft surface finisher skills to automotive painter must be a course of training and assessment approved by DAIRMAINT, DGTA-ADF.;1
During the test, only the CQI performance based on NR 1s on the NR cell(s) on FR2 carriers shall be verified.;1
Checking of the test conformance with regard to the test procedure shall be performed after the test.;1
The PDCP Duplication Configuration IE indicates whether PDCP Duplication is configured or de-configured.;1
The transmit power time mask for slot and a long subslot transmissionboundaries defines the transient periods allowed between slot and long subslot PUSCH transmissions.;1
The emission profile shall then be normalized so that the reference carrier power is set to 0 dBc.;1
For most applications, 101.6 mm (4-inch) long tie wraps are used.;1
While every effort has been made to ensure the completeness of this list, document users are cautioned that they must meet all specified 1s documents cited in sections 3, 4, and 5 of this standard practice, whether or not they are listed.;0
Where possible, properties are given in standard SI units to allow comparison between different but similar products.;0
It is recognised that there is a need for consolidation of 1s and that there are remaining open issues to be resolved.;0
As appropriate, the responsible human engineering practitioner should have sign off authority for those portions of the program's design and development that have a human interface.;1
As a result, if the transponder receives too many interrogations, it may not be able reply to all of them, which may affect the performances of surveillance interrogators.;0
It is used as a frequency reference point for both transmitter and receiver 1s.;1
The <CDC_HEC_ReportState> message shall incorporate the [HEC Support Field] parameter in order to indicate on which HDMI connections of the initiating device HEC Functionality is supported.;1
Shield and GND grounds shall be connected within the USB Type-C and USB 3.1 Standard-A plugs on both ends of the cable assembly.;1
A “flatter” structure presents more information to users sooner and requires fewer jumps for them to find the content they are seeking.;0
The flight trajectory is based on the flight plan which is updated with the actual position of the flight, when a given threshold of lateral, horizontal and time deviations are observed.;1
In general, each transformation consists of a translation, a rotation and possibly a scale factor operation.;0
Green Power Devices should omit the extended NWK frame control and it may also be omitted when sending to Green Power Devices.;1
Batteries not applicable to these system safety 1s are those used in UL- or MSA-approved appliances that have Li-Ion batteries as part of the certification.;0
The OTA time alignment error 1 is defined as a directional 1 at the RIB and shall be met within the OTA coverage range.;1
The frequency of the clock of the SSP is implementation specific and outside the scope of the present document.;0
The system must finish the use case ‘step on’ in no more than 1 second and no less than 0.5 seconds.;1
This IE indicates which kind of handover was triggered in the source side.;1
This command shall be unicast to the originator of the Active_EP_req command.;1
Expenses and time lost are going to be lost for good.;0
Pure zinc, cadmium, selenium alloys of zinc, cadmium, selenium element(s) (i.e., lead, silver) shall not be used.;1
If the security processing fails, the APSDE sets the Status parameter to the security error code returned from the security processing.;1
Dedicated mechanisms to retrieve data from and provide data to the NID.;undecidable
Depending on the controller role and flight control responsibility, the controller should be provided with an easy means to input a tow clearance instruction for a towed aircraft.;1
Examples of PMP 1s stated or derived from 1s documents are: natural space environments, radiation hardness performance levels, reliability 1s, parts screening 1s, etc.;0
However, there will be a set of inspections that will be standardized for production (acceptance test) to validate the condition of hardware and show the engine is ready for flight.;0
The real radar visibility is used to compute the real surveillance coverage at 30000ft.;1
Additional spurious emission 1s are signalled by the network to indicate that the UE shall meet an additional 1 for a specific deployment scenario as part of the cell handover/broadcast message.;1
Compound bonds shall be limited to one bond over the original bond, wire, or ribbon.;1
However for GPS and GLONASS a 30- second delay is incurred.;0
Most payloads would not require crew interaction (likely apart from instrument installation and setup) and would continue to operate during uncrewed periods.;0
The first party to reveal a commitment for a given bit of the Passkey effectively reveals that bit of the Passkey in the process, but the other party then has to reveal the corresponding commitment to show the same bit value for that bit of the Passkey, or else the first party will then abort the protocol, after which no more bits of the Passkey are revealed.;1
Potential Core System acquirers, deployers, operators, and maintainers.;undecidable
Prior to this test the ME shall have been powered on and performed the PROFILE DOWNLOAD procedure.;1
IPRs essential or potentially essential to normative deliverables may have been declared to ETSI.;0
Rationale: Commercial items or components should be used when they satisfy the ground systems function and will not degrade the safety or reliability of the ground or flight system.;0
In Figure 8.2 there are several I-frames in a buffer awaiting the SDU reassembly function to pull them and the TxWindow is full.;0
How a conducted 1 is applied to the transceiver array boundary is detailed in the respective 1 clause.;0
Tar felt: Shalimar Tar felt or equivalent shall be according to IS.;undecidable
Separate and combined communication loads are estimated for uplink (UL) and downlink (DL) traffic.;1
Where this 1 cannot be met (and removal must be demonstrated and successfully performed), the fiber optic connector shall be placed so that it is the last one off and the first one on.;1
Relevant documentation must prove that the similarity and testing equivalency 1s of the procuring agency have been satisfied.;1
These analyses shall also consider effects of sustained and continuous operations on human performance.;1
This button shall be visible and enabled, when the Designated Payment field has been populated by the User/MDA.;1
Please refer to 2.7 for more details Before booting with GParted Live, you have to download the image file and then burn it to a cd.;0
Depending on the exact scenario, {A} can include – for a given design of the control system – such things as the physical properties of the spacecraft, sensor biases, orbit, and so on: indeed any parameter whose value affects the error should be included in the set.;undecidable
These guidelines recommend that States implement a process to handle these issues i.e. high number of interrogations and/or high number of triggered replies, suspected to come from a ground- based surveillance interrogator located inside their own State.;0
The specification performance test verifies that the mechanical and electrical performance of the subsystem meet the specification 1s, including compatibility with other subsystems and ground support equipment, and validates all test techniques and software.;0
The lot is acceptable if the sampling data satisfy the post radiation limits specified in the device specification drawing.;1
MS 2.5.1, 3.5.6, 3.17.1 b - MT 5.4.13.4 / extract of protocol procedure n°10.;undecidable
To obtain full line widths for million K lines, plus sufficient nearby background, one would want to return about 0.3 Å, i.e. 15 pixels.;0
Notification shall be submitted to IPS_PSS@gsa.gov.;1
The overall structure of the E-EDID in the Sink shall conform to the E-EDID structure defined in the VESA E-EDID Standard Release A, Revision 1, but shall also meet the additional 1s specified herein.;1
The National High-Level Airspace Policy Bodies of States which have the responsibility to provide air traffic services over the high seas should ensure that co-ordination is done directly between the military units responsible for the activity and the ATS unit responsible for the provision of air traffic services in the active area.;1
For UE supporting UL MIMO, the 1s for occupied bandwidth is specified at each transmit antenna connector.;0
The system shall consider applicable inspection and test results when available from sources such as field personnel, as well as receiving inspection, and subsequent supplier responsible line rejects.;1
In this section the purpose of the analysis shall be given as well as a general description of the contents of the Analysis Report.;0
CBDMTDHG, and CADMTDHG) must always total to 100 percent.;1
The bidding in the buyback auction takes place in a similar fashion as an ordinary auction.;1
Bond the bottom plate of the radiation system to an earth reference.;undecidable
Note that the LMP Response Timeout is applied not only to sequences described in Section 4, but also to the series applied to the series of LMP transactions that take place during a period when traffic on the ACL-U logical link is disabled for the duration of the series of LMP transactions, for example during the enabling of encryption.;0
The GET method queries the information of the VNF packages matching the filter.;1
The ontology shall include widely used web content accessibility guidelines (such as WCAG 1.0, WCAG 2.0, etc.).;1
Provision shall be made for access to the interface.;1
Apparatus Any item of electrical machinery or equipment in which Conductors are used, or supported, or of which they form part.;undecidable
The reference points (Figure 5) are Os-Ma-Nfvo described in ETSI GS NFV-IFA 013 [7], Or-Vnfm described in ETSI GS NFV-IFA 007 [4], Or-Vi described in ETSI GS NFV-IFA 005 [2], Vi-Vnfm described in ETSI GS NFV-IFA 006 [3], Ve-Vnfm-em described in ETSI GS NFV-IFA 008 [5], Ve-Vnfm-vnf described in ETSI GS NFV-IFA 008 [5].;1
The system warns the controller where the aircraft speed is deviating from the assigned speed.;1
SEE induced permanent damage may cause box/system failures and thus erode the reliability of the system.;0
Thus the document also includes annex I which describes the methodology adopted for the creation and the evalution of the questionnaires as well as annex II which includes the five questionnaires (in English) that were used for the collection of user 1s.;0
The RJF shall list all the technical 1s, and their identifier, expressed by the corresponding TS as they are organized in these documents.;0
The location of the equipment under test in the climatic chamber shall not substantially influence the power output or the power consumption of the equipment under test.;1
The mapping of VNF package management operations, defined in ETSI GS NFV-IFA 013 [3], to the resources and HTTP methods defined in the present document can be found in Table A.6-1.;1
Hardware with embedded software/firmware shall be qualification tested following qualification of the software/firmware unless the hardware/software architecture requires test as an integrated entity.;1
"Once in the ""Non Valid"" state, the NEST shall remain in the ""Non Valid"" state until the processor monitoring function has determined that all fault conditions have been cleared.";1
The coding of EFUST shall conform with the capabilities of the USIM used.;1
In case of handover to UTRAN, the information in the Source to Target Transparent Container IE shall be encoded according to the Source RNC to Target RNC Transparent Container IE definition as specified in TS 25.413 [19] and the source eNB shall include the UE History Information IE in the Source RNC to Target RNC Transparent Container IE.;1
A code which indicates how the aircraft/helicopter will transport the system/equipment.;0
The Routing Service shall update the starting point of the planned route when an arriving aircraft is detected taking an earlier runway exit or passing the pre-defined runway exit.;1
Turn on the EUT and allow sufficient time for stabilization.;0
The format of a preservation object shall be identified by a URI according to IETF RFC 3986 [2] (see FormatId component in clause 5.4.5).;1
The project steering committee recovered the task to of defining and updating this document.;0
The Core2Core Subsystem shall provide information describing the communications that the Core System provides.;1
The sand and dust test is conducted to determine the resistance of units to blowing fine sand and dust particles.;0
Thus, the top-down approach employs the classic “clean-sheet” system engineering process, and the bottom-up approach addresses how L–DACS fits into the existing environment.;0
The following documents contain provisions which, through reference in this text, constitute provisions of the present document.;0
The OTA transmitter transient period is illustrated in figure 9.5.3.1-1.;0
Procedures are included in the IFPS Users Manual for message submission by the Aircraft Operators and ATC Reporting Offices (AROs) and for the IFPS processing needed.;1
A device operating in the Peripheral role will be in the Slave role in the Link Layer Connection State as described in [Vol 6] Part B, Section 4.5.;1
Provide plots for both the measurement and system check portions of the procedure.;1
The supplier's quality rating should be given consideration equal to other performance indicators when selecting suppliers.;1
The first Metop satellite of the EUMETSAT Polar System, was launched on 19th October after completion of commissioning, and, as a result, is now the primary European source of global polar observations.;0
The contractor shall document in an OCAP the actions to be taken when an out of control condition (OCC) is detected.;1
The following 1 shall be applied to AAS BS operating in Band 26 to ensure that appropriate interference protection is provided to 800 MHz public safety operations.;1
When viewed from the perspective of a specific project context, the 1s defined in this Standard should be tailored to match the genuine 1s of a particular profile and circumstances of a project.;0
RSS-NIR shall meet all science 1s listed below.;1
Out-of-band emissions are emissions on a frequency or frequencies immediately outside the necessary bandwidth which result from the modulation process, but excluding spurious emissions.;0
In addition a second unmodulated signal, 1 700 Hz above the frequency to which the receiver is tuned shall be applied and its level shall be adjusted until the 1 100 Hz and the 1 700 Hz signals in the output of the receiver are of equal amplitude.;1
The NASA Program Manager and TAs are responsible for determining how these standards and 1s are applied depending on the specified type.;1
It is also the intention to assign Quality Flags to the LST products at a per-pixel level similar to those used for SST in the GHRSST convention to enable users to be more informed when filtering data.;1
If the local device is a Peripheral then it may send a Slave Initiated Security Request as defined in [Vol 3] Part H, Section 2.4.6.;1
